GEOID,NAME,median_income,median_age,percent_bipoc,White,Black,Native,Asian,HIPI,Hispanic
8069000100,"Census Tract 1, Larimer County, Colorado",42798,29.8,13.70819552,83.27820654,2.793090775,1.323042999,2.058066887,0,7.533994855
8069000201,"Census Tract 2.01, Larimer County, Colorado",36000,24.2,16.26984127,81.52958153,0.541125541,0.82972583,4.256854257,0.288600289,10.35353535
8069000202,"Census Tract 2.02, Larimer County, Colorado",72292,32.6,16.63412729,77.11831316,0,0.507614213,1.952362358,0,14.17415072
8069000300,"Census Tract 3, Larimer County, Colorado",104006,40.1,6.549118388,89.31270241,1.295430011,1.115509176,0,0,4.138179201
8069000401,"Census Tract 4.01, Larimer County, Colorado",64415,30,14.29268293,79.95121951,0.536585366,0.097560976,0.390243902,0,13.26829268
8069000402,"Census Tract 4.02, Larimer County, Colorado",60250,29.4,8.941819602,85.00585709,2.61616556,0,0,0,6.325654041
8069000503,"Census Tract 5.03, Larimer County, Colorado",40156,22.6,29.75983796,67.72280093,2.67650463,1.822916667,5.946180556,0.043402778,19.27083333
8069000504,"Census Tract 5.04, Larimer County, Colorado",31958,23.2,16.16334935,79.99313658,0.892244338,0.240219629,2.196293754,0,12.83459163
8069000505,"Census Tract 5.05, Larimer County, Colorado",40940,24.5,22.69585253,68.80760369,0,1.411290323,2.908986175,0.057603687,18.31797235
8069000506,"Census Tract 5.06, Larimer County, Colorado",62750,27,8.856624319,86.4246824,0.435571688,0,1.778584392,0,6.64246824
8069000600,"Census Tract 6, Larimer County, Colorado",22163,19.4,28.12413411,68.14907177,2.812413411,1.052923247,7.439733998,0.651149903,16.16791355
8069000700,"Census Tract 7, Larimer County, Colorado",73361,28.4,7.238714925,90.44326962,0,0,1.382675885,0,5.85603904
8069000801,"Census Tract 8.01, Larimer County, Colorado",86319,40.1,10.97482247,87.41123305,0.129115558,1.226597805,1.420271143,0.193673338,8.005164622
8069000802,"Census Tract 8.02, Larimer County, Colorado",53646,34.3,17.04180064,78.61736334,0,0.562700965,1.607717042,0,14.87138264
8069000901,"Census Tract 9.01, Larimer County, Colorado",60124,30.1,10.96989967,86.4548495,1.505016722,0.719063545,0.919732441,0,7.826086957
8069000902,"Census Tract 9.02, Larimer County, Colorado",80074,36.3,14.57236017,84.14848257,0.200652119,0.627037873,2.984700276,0,10.7599699
8069001003,"Census Tract 10.03, Larimer County, Colorado",55443,27.8,18.67893882,77.51308428,0.794080491,0.198520123,6.045840101,0,11.64049811
8069001004,"Census Tract 10.04, Larimer County, Colorado",115786,41.5,9.243697479,88.94009217,0.406614259,0.433721876,4.22878829,0,4.174573055
8069001007,"Census Tract 10.07, Larimer County, Colorado",64601,37.9,19.45488722,75.87719298,0.971177945,0.532581454,2.036340852,2.913533835,13.00125313
8069001008,"Census Tract 10.08, Larimer County, Colorado",72083,34,12.48677249,84.33862434,0.105820106,0.37037037,3.28042328,0.158730159,8.571428571
8069001009,"Census Tract 10.09, Larimer County, Colorado",95938,44.6,12.77213353,82.87373004,0.274149331,0,2.177068215,0.064505725,10.25641026
8069001010,"Census Tract 10.10, Larimer County, Colorado",109583,57.1,4.743687835,92.96097934,0.382555471,0.994644223,0.956388676,0.038255547,2.371843917
